source,target,value
Magda,beef,14
Magda,cattle,13
Magda,fodder,2
Magda,grazing,29
Magda,livestock,60
Magda,meat,12
Magda,pasture,9
Magda,sheep,21
Magda,wool,9
ABS,beef,1
ABS,cattle,4
ABS,fodder,0
ABS,grazing,1
ABS,livestock,8
ABS,meat,2
ABS,pasture,2
ABS,sheep,1
CSIRO,beef,2
CSIRO,cattle,5
CSIRO,fodder,2
CSIRO,grazing,7
CSIRO,livestock,13
CSIRO,meat,3
CSIRO,pasture,10
CSIRO,sheep,15
WA,grazing,1
Dryad,cattle,5
Dryad,grazing,7
Dryad,livestock,6
Dryad,sheep,1
Figshare,grazing,1
Figshare,livestock,2
Figshare,sheep,9
MLA,beef,8
MLA,cattle,60
MLA,livestock,6
MLA,sheep,23
RDA,beef,16
RDA,cattle,27
RDA,fodder,8
RDA,grazing,121
RDA,livestock,24
RDA,meat,12
RDA,pasture,5
RDA,sheep,48
RDA,wool,7
TAS,cattle,1
TAS,grazing,9
TAS,livestock,2
NSW,cattle,2
NSW,livestock,1
QLD,cattle,3
QLD,meat,1
QLD,sheep,1
SA,beef,13
SA,cattle,4
SA,livestock,14
SA,meat,7
SA,pasture,1
SA,sheep,8
SA,wool,9
VIC,grazing,10
VIC,pasture,2
VIC,livestock,1
